"location","NAME_0","NAME_1","GID_1"
"Brazil-Alagoas","Brazil","ALAGOAS","BRA.2_1"
"Brazil-Bahia","Brazil","BAHIA","BRA.5_1"
"Brazil-Ceara","Brazil","CEARA","BRA.6_1"
"Brazil-Maranhao","Brazil","MARANHAO","BRA.10_1"
"Brazil-Paraiba","Brazil","PARAIBA","BRA.15_1"
"Brazil-Pernambuco","Brazil","PERNAMBUCO","BRA.17_1"
"Brazil-Piaui","Brazil","PIAUI","BRA.18_1"
"Brazil-Rio_Grande_do_Norte","Brazil","RIO GRANDE DO NORTE","BRA.20_1"
"Brazil-Sergipe","Brazil","SERGIPE","BRA.26_1"
"Brazil-Espirito_Santo","Brazil","ESPIRITO SANTO","BRA.8_1"
"Brazil-Minas_Gerais","Brazil","MINAS GERAIS","BRA.13_1"
"Brazil-Rio_de_Janeiro","Brazil","RIO DE JANEIRO","BRA.19_1"
"Brazil-Sao_Paulo","Brazil","SAO PAULO","BRA.25_1"
"Brazil-Acre","Brazil","ACRE","BRA.1_1"
"Brazil-Amapa","Brazil","AMAPA","BRA.3_1"
"Brazil-Amazonas","Brazil","AMAZONAS","BRA.4_1"
"Brazil-Para","Brazil","PARA","BRA.14_1"
"Brazil-Rondonia","Brazil","RONDONIA","BRA.22_1"
"Brazil-Roraima","Brazil","RORAIMA","BRA.23_1"
"Brazil-Tocantins","Brazil","TOCANTINS","BRA.27_1"
"Brazil-Distrito_Federal","Brazil","DISTRITO FEDERAL","BRA.7_1"
"Brazil-Goias","Brazil","GOIAS","BRA.9_1"
"Brazil-Mato_Grosso","Brazil","MATO GROSSO","BRA.12_1"
"Brazil-Mato_Grosso_do_Sul","Brazil","MATO GROSSO DO SUL","BRA.11_1"
"Brazil-Parana","Brazil","PARANA","BRA.16_1"
"Brazil-Santa_Catarina","Brazil","SANTA CATARINA","BRA.24_1"
"Brazil-Rio_Grande_do_Sul","Brazil","RIO GRANDE DO SUL","BRA.21_1"
