"location","NAME_0","NAME_1","NAME_2","GID_2","GID_1"
"Colombia-Antioquia-Medellin","Colombia","ANTIOQUIA","MEDELLIN","COL.2.68_1",NA
"Colombia-Antioquia-Abejorral","Colombia","ANTIOQUIA","ABEJORRAL","COL.2.1_1",NA
"Colombia-Antioquia-Abriaqui","Colombia","ANTIOQUIA","ABRIAQUI","COL.2.2_1",NA
"Colombia-Antioquia-Alejandria","Colombia","ANTIOQUIA","ALEJANDRIA","COL.2.3_1",NA
"Colombia-Antioquia-Amaga","Colombia","ANTIOQUIA","AMAGA","COL.2.4_1",NA
"Colombia-Antioquia-Amalfi","Colombia","ANTIOQUIA","AMALFI","COL.2.5_1",NA
"Colombia-Antioquia-Andes","Colombia","ANTIOQUIA","ANDES","COL.2.6_1",NA
"Colombia-Antioquia-Angelopolis","Colombia","ANTIOQUIA","ANGELOPOLIS","COL.2.7_1",NA
"Colombia-Antioquia-Angostura","Colombia","ANTIOQUIA","ANGOSTURA","COL.2.8_1",NA
"Colombia-Antioquia-Anori","Colombia","ANTIOQUIA","ANORI","COL.2.9_1",NA
"Colombia-Antioquia-Santafe_De_Antioquia","Colombia","ANTIOQUIA","SANTAFE DE ANTIOQUIA","COL.2.101_1",NA
"Colombia-Antioquia-Anza","Colombia","ANTIOQUIA","ANZA","COL.2.10_1",NA
"Colombia-Antioquia-Apartado","Colombia","ANTIOQUIA","APARTADO","COL.2.11_1",NA
"Colombia-Antioquia-Arboletes","Colombia","ANTIOQUIA","ARBOLETES","COL.2.12_1",NA
"Colombia-Antioquia-Argelia","Colombia","ANTIOQUIA","ARGELIA","COL.2.13_1",NA
"Colombia-Antioquia-Armenia","Colombia","ANTIOQUIA","ARMENIA","COL.2.14_1",NA
"Colombia-Antioquia-Barbosa","Colombia","ANTIOQUIA","BARBOSA","COL.2.15_1",NA
"Colombia-Antioquia-Belmira","Colombia","ANTIOQUIA","BELMIRA","COL.2.17_1",NA
"Colombia-Antioquia-Bello","Colombia","ANTIOQUIA","BELLO","COL.2.16_1",NA
"Colombia-Antioquia-Betania","Colombia","ANTIOQUIA","BETANIA","COL.2.18_1",NA
"Colombia-Antioquia-Betulia","Colombia","ANTIOQUIA","BETULIA","COL.2.19_1",NA
"Colombia-Antioquia-Ciudad_Bolivar","Colombia","ANTIOQUIA","CIUDAD BOLIVAR","COL.2.20_1",NA
"Colombia-Antioquia-Briceno","Colombia","ANTIOQUIA","BRICENO","COL.2.21_1",NA
"Colombia-Antioquia-Buritica","Colombia","ANTIOQUIA","BURITICA","COL.2.22_1",NA
"Colombia-Antioquia-Caceres","Colombia","ANTIOQUIA","CACERES","COL.2.23_1",NA
"Colombia-Antioquia-Caicedo","Colombia","ANTIOQUIA","CAICEDO","COL.2.24_1",NA
"Colombia-Antioquia-Caldas","Colombia","ANTIOQUIA","CALDAS","COL.2.25_1",NA
"Colombia-Antioquia-Campamento","Colombia","ANTIOQUIA","CAMPAMENTO","COL.2.26_1",NA
"Colombia-Antioquia-Canasgordas","Colombia","ANTIOQUIA","CANASGORDAS","COL.2.27_1",NA
"Colombia-Antioquia-Caracoli","Colombia","ANTIOQUIA","CARACOLI","COL.2.28_1",NA
"Colombia-Antioquia-Caramanta","Colombia","ANTIOQUIA","CARAMANTA","COL.2.29_1",NA
"Colombia-Antioquia-Carepa","Colombia","ANTIOQUIA","CAREPA","COL.2.30_1",NA
"Colombia-Antioquia-El_Carmen_De_Viboral","Colombia","ANTIOQUIA","EL CARMEN DE VIBORAL","COL.2.43_1",NA
"Colombia-Antioquia-Carolina","Colombia","ANTIOQUIA","CAROLINA","COL.2.31_1",NA
"Colombia-Antioquia-Caucasia","Colombia","ANTIOQUIA","CAUCASIA","COL.2.32_1",NA
"Colombia-Antioquia-Chigorodo","Colombia","ANTIOQUIA","CHIGORODO","COL.2.33_1",NA
"Colombia-Antioquia-Cisneros","Colombia","ANTIOQUIA","CISNEROS","COL.2.34_1",NA
"Colombia-Antioquia-Cocorna","Colombia","ANTIOQUIA","COCORNA","COL.2.35_1",NA
"Colombia-Antioquia-Concepcion","Colombia","ANTIOQUIA","CONCEPCION","COL.2.36_1",NA
"Colombia-Antioquia-Concordia","Colombia","ANTIOQUIA","CONCORDIA","COL.2.37_1",NA
"Colombia-Antioquia-Copacabana","Colombia","ANTIOQUIA","COPACABANA","COL.2.38_1",NA
"Colombia-Antioquia-Dabeiba","Colombia","ANTIOQUIA","DABEIBA","COL.2.39_1",NA
"Colombia-Antioquia-Don_Matias","Colombia","ANTIOQUIA","DON MATIAS","COL.2.40_1",NA
"Colombia-Antioquia-Ebejico","Colombia","ANTIOQUIA","EBEJICO","COL.2.41_1",NA
"Colombia-Antioquia-El_Bagre","Colombia","ANTIOQUIA","EL BAGRE","COL.2.42_1",NA
"Colombia-Antioquia-Entrerrios","Colombia","ANTIOQUIA","ENTRERRIOS","COL.2.45_1",NA
"Colombia-Antioquia-Envigado","Colombia","ANTIOQUIA","ENVIGADO","COL.2.46_1",NA
"Colombia-Antioquia-Fredonia","Colombia","ANTIOQUIA","FREDONIA","COL.2.47_1",NA
"Colombia-Antioquia-Frontino","Colombia","ANTIOQUIA","FRONTINO","COL.2.48_1",NA
"Colombia-Antioquia-Giraldo","Colombia","ANTIOQUIA","GIRALDO","COL.2.49_1",NA
"Colombia-Antioquia-Girardota","Colombia","ANTIOQUIA","GIRARDOTA","COL.2.50_1",NA
"Colombia-Antioquia-Gomez_Plata","Colombia","ANTIOQUIA","GOMEZ PLATA","COL.2.51_1",NA
"Colombia-Antioquia-Granada","Colombia","ANTIOQUIA","GRANADA","COL.2.52_1",NA
"Colombia-Antioquia-Guadalupe","Colombia","ANTIOQUIA","GUADALUPE","COL.2.53_1",NA
"Colombia-Antioquia-Guarne","Colombia","ANTIOQUIA","GUARNE","COL.2.54_1",NA
"Colombia-Antioquia-Guatape","Colombia","ANTIOQUIA","GUATAPE","COL.2.55_1",NA
"Colombia-Antioquia-Heliconia","Colombia","ANTIOQUIA","HELICONIA","COL.2.56_1",NA
"Colombia-Antioquia-Hispania","Colombia","ANTIOQUIA","HISPANIA","COL.2.57_1",NA
"Colombia-Antioquia-Itagui","Colombia","ANTIOQUIA","ITAGUI","COL.2.58_1",NA
"Colombia-Antioquia-Ituango","Colombia","ANTIOQUIA","ITUANGO","COL.2.59_1",NA
"Colombia-Antioquia-Jardin","Colombia","ANTIOQUIA","JARDIN","COL.2.60_1",NA
"Colombia-Antioquia-Jerico","Colombia","ANTIOQUIA","JERICO","COL.2.61_1",NA
"Colombia-Antioquia-La_Ceja","Colombia","ANTIOQUIA","LA CEJA","COL.2.62_1",NA
"Colombia-Antioquia-La_Estrella","Colombia","ANTIOQUIA","LA ESTRELLA","COL.2.63_1",NA
"Colombia-Antioquia-La_Pintada","Colombia","Antioquia","Santa Bárbara","COL.2.100_1",NA
"Colombia-Antioquia-La_Union","Colombia","ANTIOQUIA","LA UNION","COL.2.64_1",NA
"Colombia-Antioquia-Liborina","Colombia","ANTIOQUIA","LIBORINA","COL.2.65_1",NA
"Colombia-Antioquia-Maceo","Colombia","ANTIOQUIA","MACEO","COL.2.66_1",NA
"Colombia-Antioquia-Marinilla","Colombia","ANTIOQUIA","MARINILLA","COL.2.67_1",NA
"Colombia-Antioquia-Montebello","Colombia","ANTIOQUIA","MONTEBELLO","COL.2.69_1",NA
"Colombia-Antioquia-Murindo","Colombia","ANTIOQUIA","MURINDO","COL.2.70_1",NA
"Colombia-Antioquia-Mutata","Colombia","ANTIOQUIA","MUTATA","COL.2.71_1",NA
"Colombia-Antioquia-Narino","Colombia","ANTIOQUIA","NARINO","COL.2.72_1",NA
"Colombia-Antioquia-Necocli","Colombia","ANTIOQUIA","NECOCLI","COL.2.74_1",NA
