"location","NAME_0","NAME_1","GID_1","NAME_2","GID_2"
"Ecuador-Bolivar","Ecuador","BOLIVAR","ECU.2_1",NA,NA
"Ecuador-Cotopaxi","Ecuador","COTOPAXI","ECU.6_1",NA,NA
"Ecuador-Santa_Elena","Ecuador","SANTA ELENA","ECU.20_1",NA,NA
"Ecuador-Azuay","Ecuador","AZUAY","ECU.1_1",NA,NA
"Ecuador-Esmeraldas","Ecuador","ESMERALDAS","ECU.8_1",NA,NA
"Ecuador-Chimborazo","Ecuador","CHIMBORAZO","ECU.5_1",NA,NA
"Ecuador-Galapagos","Ecuador","GALAPAGOS","ECU.9_1",NA,NA
"Ecuador-Orellana","Ecuador","ORELLANA","ECU.17_1",NA,NA
"Ecuador-Guayas","Ecuador","GUAYAS","ECU.10_1",NA,NA
"Ecuador-Pichincha","Ecuador","PICHINCHA","ECU.19_1",NA,NA
"Ecuador-Los_Rios","Ecuador","LOS RIOS","ECU.13_1",NA,NA
"Ecuador-Santo_Domingo_de_los_Tsachilas","Ecuador","SANTO DOMINGO DE LOS TSACHILAS","ECU.21_1",NA,NA
"Ecuador-Sucumbios","Ecuador","SUCUMBIOS","ECU.22_1",NA,NA
"Ecuador-El_Oro","Ecuador","EL ORO","ECU.7_1",NA,NA
"Ecuador-Manabi","Ecuador","MANABI","ECU.14_1",NA,NA
"Ecuador-Loja","Ecuador","LOJA","ECU.12_1",NA,NA
"Ecuador-Napo","Ecuador","NAPO","ECU.16_1",NA,NA
"Ecuador-Canar","Ecuador","CANAR","ECU.3_1",NA,NA
"Ecuador-Imbabura","Ecuador","IMBABURA","ECU.11_1",NA,NA
"Ecuador-Carchi","Ecuador","CARCHI","ECU.4_1",NA,NA
"Ecuador-Tungurahua","Ecuador","TUNGURAHUA","ECU.23_1",NA,NA
"Ecuador-Azuay-Cuenca","Ecuador","AZUAY",NA,"CUENCA","ECU.1.3_1"
"Ecuador-Chimborazo-Chunchi","Ecuador","CHIMBORAZO",NA,"CHUNCHI","ECU.5.3_1"
"Ecuador-El_Oro-Huaquillas","Ecuador","EL ORO",NA,"HUAQUILLAS","ECU.7.6_1"
"Ecuador-El_Oro-Machala","Ecuador","EL ORO",NA,"MACHALA","ECU.7.8_1"
"Ecuador-El_Oro-Pasaje","Ecuador","EL ORO",NA,"PASAJE","ECU.7.10_1"
"Ecuador-El_Oro-Santa_Rosa","Ecuador","EL ORO",NA,"SANTA ROSA","ECU.7.13_1"
"Ecuador-Esmeraldas-Esmeraldas","Ecuador","ESMERALDAS",NA,"ESMERALDAS","ECU.8.3_1"
"Ecuador-Esmeraldas-Atacames","Ecuador","ESMERALDAS",NA,"ATACAMES","ECU.8.1_1"
"Ecuador-Esmeraldas-Muisne","Ecuador","ESMERALDAS",NA,"MUISNE","ECU.8.4_1"
"Ecuador-Esmeraldas-Quininde","Ecuador","ESMERALDAS",NA,"QUININDE","ECU.8.5_1"
"Ecuador-Esmeraldas-San_Lorenzo","Ecuador","ESMERALDAS",NA,"SAN LORENZO","ECU.8.7_1"
"Ecuador-Esmeraldas-Rioverde","Ecuador","ESMERALDAS",NA,"RIO VERDE","ECU.8.6_1"
"Ecuador-Galapagos-Santa_Cruz","Ecuador","GALAPAGOS",NA,"SANTA CRUZ","ECU.9.3_1"
"Ecuador-Imbabura-Otavalo","Ecuador","IMBABURA",NA,"OTAVALO","ECU.11.4_1"
"Ecuador-Guayas-Daule","Ecuador","GUAYAS",NA,"DAULE","ECU.10.6_1"
"Ecuador-Guayas-General_Antonio_Elizalde","Ecuador","GUAYAS",NA,"GENERAL ANTONIO ELIZALDE","ECU.10.10_1"
"Ecuador-Guayas-Guayaquil","Ecuador","GUAYAS",NA,"GUAYAQUIL","ECU.10.11_1"
"Ecuador-Guayas-Playas","Ecuador","GUAYAS",NA,"PLAYAS","ECU.10.20_1"
"Ecuador-Guayas-Balzar","Ecuador","GUAYAS",NA,"BALZAR","ECU.10.3_1"
"Ecuador-Los_Rios-Buena_Fe","Ecuador","LOS RIOS",NA,"BUENA FE","ECU.13.3_1"
"Ecuador-Los_Rios-Quevedo","Ecuador","LOS RIOS",NA,"QUEVEDO","ECU.13.8_1"
"Ecuador-Los_Rios-Ventanas","Ecuador","LOS RIOS",NA,"VENTANAS","ECU.13.12_1"
"Ecuador-Los_Rios-Vinces","Ecuador","LOS RIOS",NA,"VINCES","ECU.13.13_1"
"Ecuador-Manabi-Jipijapa","Ecuador","MANABI",NA,"JIPIJAPA","ECU.14.8_1"
"Ecuador-Los_Rios-Jaramijo","Ecuador","MANABI",NA,"JARAMIJO","ECU.14.7_1"
"Ecuador-Manabi-Chone","Ecuador","MANABI",NA,"CHONE","ECU.14.3_1"
"Ecuador-Manabi-Manta","Ecuador","MANABI",NA,"MANTA","ECU.14.10_1"
"Ecuador-Manabi-Pajan","Ecuador","MANABI",NA,"PAJAN","ECU.14.13_1"
"Ecuador-Manabi-Pedernales","Ecuador","MANABI",NA,"PEDERNALES","ECU.14.14_1"
"Ecuador-Manabi-Portoviejo","Ecuador","MANABI",NA,"PORTOVIEJO","ECU.14.16_1"
"Ecuador-Manabi-Puerto_Lopez","Ecuador","MANABI",NA,"PUERTO LOPEZ","ECU.14.17_1"
"Ecuador-Manabi-Rocafuerte","Ecuador","MANABI",NA,"ROCAFUERTE","ECU.14.18_1"
"Ecuador-Manabi-Santa_Ana","Ecuador","MANABI",NA,"SANTA ANA","ECU.14.20_1"
"Ecuador-Manabi-San_Vicente","Ecuador","MANABI",NA,"SAN VICENTE","ECU.14.19_1"
"Ecuador-Manabi-24_de_Mayo","Ecuador","MANABI",NA,"24 DE MAYO","ECU.14.1_1"
"Ecuador-Manabi-Tosagua","Ecuador","MANABI",NA,"TOSAGUA","ECU.14.22_1"
"Ecuador-Manabi-Sucre","Ecuador","MANABI",NA,"SUCRE","ECU.14.21_1"
"Ecuador-Orellana_Joya_de_los_Sachas","Ecuador","ORELLANA",NA,"LA JOYA DE LOS SACHAS","ECU.17.2_1"
"Ecuador-Pichincha-Mejia","Ecuador","PICHINCHA",NA,"MEJIA","ECU.19.2_1"
"Ecuador-Pichincha-Quito","Ecuador","PICHINCHA",NA,"QUITO","ECU.19.6_1"
"Ecuador-Pichincha-Cayambe","Ecuador","PICHINCHA",NA,"CAYAMBE","ECU.19.1_1"
"Ecuador-Santo_Domingo_de_los_Tsachilas-La_Concordia","Ecuador","SANTO DOMINGO DE LOS TSACHILAS",NA,"LA CONCORDIA","ECU.21.1_1"
"Ecuador-Santo_Domingo_de_los_Tsachilas-Santo_Domingo","Ecuador","SANTO DOMINGO DE LOS TSACHILAS",NA,"SANTO DOMINGO","ECU.21.2_1"
"Ecuador-Sucumbios-Shushufindi","Ecuador","SUCUMBIOS",NA,"SHUSHUFINDI","ECU.22.6_1"
"Ecuador-Sucumbios-Lago_Agrio","Ecuador","SUCUMBIOS",NA,"LAGO AGRIO","ECU.22.4_1"
"Ecuador-Manabi-Montecristi","Ecuador","MANABI",NA,"MONTECRISTI","ECU.14.11_1"
