"location","NAME_0","NAME_1","GID_1"
"El_Salvador-Ahuachapan","El Salvador","AHUACHAPAN","SLV.1_1"
"El_Salvador-Cabanas","El Salvador","CABANAS","SLV.2_1"
"El_Salvador-Chalatenango","El Salvador","CHALATENANGO","SLV.3_1"
"El_Salvador-Cuscatlan","El Salvador","CUSCATLAN","SLV.4_1"
"El_Salvador-La_Libertad","El Salvador","LA LIBERTAD","SLV.5_1"
"El_Salvador-La_Paz","El Salvador","LA PAZ","SLV.6_1"
"El_Salvador-La_Union","El Salvador","LA UNION","SLV.7_1"
"El_Salvador-Morazan","El Salvador","MORAZAN","SLV.8_1"
"El_Salvador-San_Miguel","El Salvador","SAN MIGUEL","SLV.9_1"
"El_Salvador-San_Salvador","El Salvador","SAN SALVADOR","SLV.10_1"
"El_Salvador-San_Vicente","El Salvador","SAN VICENTE","SLV.11_1"
"El_Salvador-Santa_Ana","El Salvador","SANTA ANA","SLV.12_1"
"El_Salvador-Sonsonate","El Salvador","SONSONATE","SLV.13_1"
"El_Salvador-Usulutan","El Salvador","USULUTAN","SLV.14_1"
