"location","NAME_0","NAME_1","GID_1"
"Guatemala-Chiquimula","Guatemala","CHIQUIMULA","GTM.4_1"
"Guatemala-Chimaltenango","Guatemala","CHIMALTENANGO","GTM.3_1"
"Guatemala-Escuintla","Guatemala","ESCUINTLA","GTM.6_1"
"Guatemala-Suchitepequez","Guatemala","SUCHITEPEQUEZ","GTM.20_1"
"Guatemala-Zacapa","Guatemala","ZACAPA","GTM.22_1"
"Guatemala-Jutiapa","Guatemala","JUTIAPA","GTM.11_1"
"Guatemala-Alta_Verapaz","Guatemala","ALTA VERAPAZ","GTM.1_1"
"Guatemala-Baja_Verapaz","Guatemala","BAJA VERAPAZ","GTM.2_1"
"Guatemala-Izabal","Guatemala","IZABAL","GTM.9_1"
"Guatemala-Ixcan","Guatemala","QUICHE","GTM.14_1"
"Guatemala-Jalapa","Guatemala","JALAPA","GTM.10_1"
"Guatemala-Peten_Norte","Guatemala","PETEN","GTM.12_1"
"Guatemala-Quetzaltenango","Guatemala","QUEZALTENANGO","GTM.13_1"
"Guatemala-San_Marcos","Guatemala","SAN MARCOS","GTM.17_1"
"Guatemala-Peten_Sur_Oriental","Guatemala","PETEN","GTM.12_1"
"Guatemala-El_Progreso","Guatemala","EL PROGRESO","GTM.5_1"
"Guatemala-Santa_Rosa","Guatemala","SANTA ROSA","GTM.18_1"
"Guatemala-Retalhuleu","Guatemala","RETALHULEU","GTM.15_1"
"Guatemala-Sacatepequez","Guatemala","SACATEPEQUEZ","GTM.16_1"
"Guatemala-Solola","Guatemala","SOLOLA","GTM.19_1"
"Guatemala-El_Quiche","Guatemala","QUICHE","GTM.14_1"
"Guatemala-Peten_Sur_Occidental","Guatemala","PETEN","GTM.12_1"
"Guatemala-Ixil","Guatemala","QUICHE","GTM.14_1"
"Guatemala-Huehuetenango","Guatemala","HUEHUETENANGO","GTM.8_1"
"Guatemala-Totonicapan","Guatemala","TOTONICAPAN","GTM.21_1"
"Guatemala-Quiche","Guatemala","QUICHE","GTM.14_1"
