"location","NAME_0","NAME_1","GID_1"
"Mexico-Aguascalientes","Mexico","AGUASCALIENTES","MEX.1_1"
"Mexico-Baja_California","Mexico","BAJA CALIFORNIA","MEX.3_1"
"Mexico-Baja_California_Sur","Mexico","BAJA CALIFORNIA SUR","MEX.2_1"
"Mexico-Campeche","Mexico","CAMPECHE","MEX.4_1"
"Mexico-Chiapas","Mexico","CHIAPAS","MEX.5_1"
"Mexico-Chihuahua","Mexico","CHIHUAHUA","MEX.6_1"
"Mexico-Coahuila_de_Zaragoza","Mexico","COAHUILA","MEX.7_1"
"Mexico-Colima","Mexico","COLIMA","MEX.8_1"
"Mexico-Distrito_Federal","Mexico","DISTRITO FEDERAL","MEX.9_1"
"Mexico-Durango","Mexico","DURANGO","MEX.10_1"
"Mexico-Guanajuato","Mexico","GUANAJUATO","MEX.11_1"
"Mexico-Guerrero","Mexico","GUERRERO","MEX.12_1"
"Mexico-Hidalgo","Mexico","HIDALGO","MEX.13_1"
"Mexico-Jalisco","Mexico","JALISCO","MEX.14_1"
"Mexico-Mexico","Mexico","MEXICO","MEX.15_1"
"Mexico-Michoacan_de_Ocampo","Mexico","MICHOACAN","MEX.16_1"
"Mexico-Morelos","Mexico","MORELOS","MEX.17_1"
"Mexico-Nayarit","Mexico","NAYARIT","MEX.18_1"
"Mexico-Nuevo_Leon","Mexico","NUEVO LEON","MEX.19_1"
"Mexico-Oaxaca","Mexico","OAXACA","MEX.20_1"
"Mexico-Puebla","Mexico","PUEBLA","MEX.21_1"
"Mexico-Queretaro_de_Arteaga","Mexico","QUERETARO","MEX.22_1"
"Mexico-Quintana_Roo","Mexico","QUINTANA ROO","MEX.23_1"
"Mexico-San_Luis_Potosi","Mexico","SAN LUIS POTOSI","MEX.24_1"
"Mexico-Sinaloa","Mexico","SINALOA","MEX.25_1"
"Mexico-Sonora","Mexico","SONORA","MEX.26_1"
"Mexico-Tabasco","Mexico","TABASCO","MEX.27_1"
"Mexico-Tamaulipas","Mexico","TAMAULIPAS","MEX.28_1"
"Mexico-Tlaxcala","Mexico","TLAXCALA","MEX.29_1"
"Mexico-Veracruz_de_Ignacio_de_la_Llave","Mexico","VERACRUZ","MEX.30_1"
"Mexico-Yucatan","Mexico","YUCATAN","MEX.31_1"
"Mexico-Zacatecas","Mexico","ZACATECAS","MEX.32_1"
