"location","NAME_0","NAME_1","GID_1","NAME_2","NAME_3","GID_3","GID_2"
"Panama-San_Miguelito","PANAMA","PANAMA","PAN.12_1",NA,NA,NA,NA
"Panama-Chiriqui","PANAMA","CHIRIQUI","PAN.2_1",NA,NA,NA,NA
"Panama-Kuna_Yala","PANAMA","KUNA YALA","PAN.8_1",NA,NA,NA,NA
"Panama-Metro","PANAMA","PANAMA","PAN.12_1",NA,NA,NA,NA
"Panama-P_Oeste","PANAMA","PANAMA OESTE","PAN.11_1",NA,NA,NA,NA
"Panama-Darien","PANAMA","DARIEN","PAN.5_1",NA,NA,NA,NA
"Panama-Herrera","PANAMA","HERRERA","PAN.7_1",NA,NA,NA,NA
"Panama-Ngabe_Bugle","PANAMA","NGOBE BUGLE","PAN.10_1",NA,NA,NA,NA
"Panama-Veraguas","PANAMA","VERAGUAS","PAN.13_1",NA,NA,NA,NA
"Panama-Panama_Norte","PANAMA","PANAMA","PAN.12_1",NA,NA,NA,NA
"Panama-Panama_Este","PANAMA","PANAMA","PAN.12_1",NA,NA,NA,NA
"Panama-Bocas_del_Toro","PANAMA","BOCAS DEL TORO","PAN.1_1",NA,NA,NA,NA
"Panama-Panama_Oeste","PANAMA","PANAMA OESTE","PAN.11_1",NA,NA,NA,NA
"Panama-Los_Santos","PANAMA","LOS SANTOS","PAN.9_1",NA,NA,NA,NA
"Panama-Cocle","PANAMA","COCLE","PAN.3_1",NA,NA,NA,NA
"Panama-Colon","PANAMA","COLON","PAN.4_1",NA,NA,NA,NA
"Panama-Kuna_Yala-Acuatupu","PANAMA","Kuna Yala",NA,"Kuna Yala","Narganá","PAN.8.1.2_1",NA
"Panama-Kuna_Yala-Mulatupu","PANAMA","Kuna Yala",NA,"Kuna Yala","Tubualá","PAN.8.1.4_1",NA
"Panama-Kuna_Yala-Ogobsucum","PANAMA","Kuna Yala",NA,"Kuna Yala","Ailigandí","PAN.8.1.1_1",NA
"Panama-Kuna_Yala-Ustupu","PANAMA","Kuna Yala",NA,"Kuna Yala","Ailigandí","PAN.8.1.1_1",NA
"Panama-Kuna_Yala-Achutupu","PANAMA","Kuna Yala",NA,"Kuna Yala","Ailigandí","PAN.8.1.1_1",NA
"Panama-Kuna_Yala-Pto_Obaldia","PANAMA","KUNA YALA",NA,"KUNA YALA","PUERTO OBALDIA","PAN.8.1.3_1",NA
"Panama-Kuna_Yala-Playon_Chico","PANAMA","KUNA YALA",NA,"KUNA YALA","NARGANA","PAN.8.1.2_1",NA
"Panama-Kuna_Yala-Nargana","PANAMA","KUNA YALA",NA,"KUNA YALA","NARGANA","PAN.8.1.2_1",NA
"Panama-Kuna_Yala-Corazon_de_Jesus","PANAMA","Kuna Yala",NA,"Kuna Yala","Narganá","PAN.8.1.2_1",NA
"Panama-Kuna_Yala-Rio_Azucar","PANAMA","Kuna Yala",NA,"Kuna Yala","Narganá","PAN.8.1.2_1",NA
"Panama-Kuna_Yala-Rio_Sidra","PANAMA","Kuna Yala",NA,"Kuna Yala","Narganá","PAN.8.1.2_1",NA
"Panama-Kuna_Yala-Carti_Sugdup","PANAMA","Kuna Yala",NA,"Kuna Yala","Narganá","PAN.8.1.2_1",NA
"Panama-Kuna_Yala-Ailigandi","PANAMA","KUNA YALA",NA,"KUNA YALA","AILIGANDI","PAN.8.1.1_1",NA
"Panama-Kuna_Yala-Ailitupu","PANAMA","Kuna Yala",NA,"Kuna Yala","Narganá","PAN.8.1.2_1",NA
"Panama-Kuna_Yala-Nalugena","PANAMA","Kuna Yala",NA,"Kuna Yala","Narganá","PAN.8.1.2_1",NA
