"location","NAME_0","NAME_1","GID_1"
"United_States-Puerto_Rico-Adjuntas","PUERTO RICO","ADJUNTAS","PRI.1_1"
"United_States-Puerto_Rico-Aguada","PUERTO RICO","AGUADA","PRI.2_1"
"United_States-Puerto_Rico-Aguadilla","PUERTO RICO","AGUADILLA","PRI.3_1"
"United_States-Puerto_Rico-Aguas_Buenas","PUERTO RICO","AGUAS BUENAS","PRI.4_1"
"United_States-Puerto_Rico-Aibonito","PUERTO RICO","AIBONITO","PRI.5_1"
"United_States-Puerto_Rico-AÒasco","PUERTO RICO","A√ëASCO","PRI.6_1"
"United_States-Puerto_Rico-Arecibo","PUERTO RICO","ARECIBO","PRI.7_1"
"United_States-Puerto_Rico-Arroyo","PUERTO RICO","ARROYO","PRI.8_1"
"United_States-Puerto_Rico-Barceloneta","PUERTO RICO","BARCELONETA","PRI.9_1"
"United_States-Puerto_Rico-Barranquitas","PUERTO RICO","BARRANQUITAS","PRI.10_1"
"United_States-Puerto_Rico-BayamÛn","PUERTO RICO","BAYAM√ìN","PRI.11_1"
"United_States-Puerto_Rico-Cabo_Rojo","PUERTO RICO","CABO ROJO","PRI.12_1"
"United_States-Puerto_Rico-Caguas","PUERTO RICO","CAGUAS","PRI.13_1"
"United_States-Puerto_Rico-Camuy","PUERTO RICO","CAMUY","PRI.14_1"
"United_States-Puerto_Rico-CanÛvanas","PUERTO RICO","CAN√ìVANAS","PRI.15_1"
"United_States-Puerto_Rico-Carolina","PUERTO RICO","CAROLINA","PRI.16_1"
"United_States-Puerto_Rico-CataÒo","PUERTO RICO","CATA√ëO","PRI.17_1"
"United_States-Puerto_Rico-Cayey","PUERTO RICO","CAYEY","PRI.18_1"
"United_States-Puerto_Rico-Ceiba","PUERTO RICO","CEIBA","PRI.19_1"
"United_States-Puerto_Rico-Ciales","PUERTO RICO","CIALES","PRI.20_1"
"United_States-Puerto_Rico-Cidra","PUERTO RICO","CIDRA","PRI.21_1"
"United_States-Puerto_Rico-Coamo","PUERTO RICO","COAMO","PRI.22_1"
"United_States-Puerto_Rico-ComerÌo","PUERTO RICO","COMER√çO","PRI.23_1"
"United_States-Puerto_Rico-Corozal","PUERTO RICO","COROZAL","PRI.24_1"
"United_States-Puerto_Rico-Culebra","PUERTO RICO","CULEBRA","PRI.25_1"
"United_States-Puerto_Rico-Dorado","PUERTO RICO","DORADO","PRI.26_1"
"United_States-Puerto_Rico-Fajardo","PUERTO RICO","FAJARDO","PRI.27_1"
"United_States-Puerto_Rico-Florida","PUERTO RICO","FLORIDA","PRI.28_1"
"United_States-Puerto_Rico-Gu·nica","PUERTO RICO","GU√ÅNICA","PRI.29_1"
"United_States-Puerto_Rico-Guayama","PUERTO RICO","GUAYAMA","PRI.30_1"
"United_States-Puerto_Rico-Guayanilla","PUERTO RICO","GUAYANILLA","PRI.31_1"
"United_States-Puerto_Rico-Guaynabo","PUERTO RICO","GUAYNABO","PRI.32_1"
"United_States-Puerto_Rico-Gurabo","PUERTO RICO","GURABO","PRI.33_1"
"United_States-Puerto_Rico-Hatillo","PUERTO RICO","HATILLO","PRI.34_1"
"United_States-Puerto_Rico-Hormigueros","PUERTO RICO","HORMIGUEROS","PRI.35_1"
"United_States-Puerto_Rico-Humacao","PUERTO RICO","HUMACAO","PRI.36_1"
"United_States-Puerto_Rico-Isabela","PUERTO RICO","ISABELA","PRI.37_1"
"United_States-Puerto_Rico-Jayuya","PUERTO RICO","JAYUYA","PRI.38_1"
"United_States-Puerto_Rico-Juana DÌaz","PUERTO RICO","JUANA D√çAZ","PRI.39_1"
"United_States-Puerto_Rico-Juncos","PUERTO RICO","JUNCOS","PRI.40_1"
"United_States-Puerto_Rico-Lajas","PUERTO RICO","LAJAS","PRI.41_1"
"United_States-Puerto_Rico-Lares","PUERTO RICO","LARES","PRI.42_1"
"United_States-Puerto_Rico-Las_MarÌas","PUERTO RICO","LAS MAR√çAS","PRI.43_1"
"United_States-Puerto_Rico-Las_Piedras","PUERTO RICO","LAS PIEDRAS","PRI.44_1"
