location,location_type,NAME_0,NAME_1,NAME_2,GID_2,lat,long,Notes
Colombia-Amazonas-La_Victoria,municipality,Colombia,AMAZONAS,LA VICTORIA,,-0.114914,-71.138163,
Colombia-Amazonas-Miriti_-_Parana,municipality,Colombia,AMAZONAS,MIRITI,COL.1.5_1,,,
Colombia-Amazonas-Miriti_Parana,municipality,Colombia,AMAZONAS,MIRITI PARANA,COL.1.5_1,,,
Colombia-Amazonas-Puerto_Alegria,municipality,Colombia,AMAZONAS,PUERTO ALEGRIA,,-1.005464,-74.014276,
Colombia-Amazonas-Puerto_Arica,municipality,Colombia,AMAZONAS,PUERTO ARICA,,-2.134177,-71.733088,
Colombia-Antioquia-Carolina,municipality,Colombia,ANTIOQUIA,CAROLINA,COL.2.31_1,,,
Colombia-Antioquia-Ciudad_Bolivar,municipality,Colombia,ANTIOQUIA,CIUDAD BOLIVAR,COL.2.20_1,,,
Colombia-Antioquia-Itagui,municipality,Colombia,ANTIOQUIA,ITAGUI,COL.2.58_1,,,
Colombia-Antioquia-La_Pintada,municipality,Colombia,ANTIOQUIA,LA PINTADA,,5.756825,-75.604003,
Colombia-Antioquia-La_Union,municipality,Colombia,ANTIOQUIA,LA UNION,COL.2.64_1,,,
Colombia-Antioquia-Peðol,municipality,Colombia,ANTIOQUIA,PEÐOL,COL.2.76_1,,,NAME_2 = PENOL
Colombia-Antioquia-Pe̡ol,municipality,Colombia,ANTIOQUIA,PE̡OL,COL.2.76_1,,,NAME_2 = PENOL
Colombia-Antioquia-Pedol,municipality,Colombia,ANTIOQUIA,PEDOL,COL.2.76_1,,,NAME_2 = PENOL
Colombia-Antioquia-San_Pedro,municipality,Colombia,ANTIOQUIA,SAN PEDRO,COL.2.95_1,,,GADM says this is the San Pedro
Colombia-Antioquia-Santafe_De_Antioquia,municipality,Colombia,ANTIOQUIA,SANTAFE DE ANTIOQUIA,COL.2.101_1,,,
Colombia-Barranquilla-Barranquilla,municipality,Colombia,ATLANTICO,BARRANQUILLA,COL.4.2_1,,,
Colombia-Bogota-Barrios_Unidos_12_De_Octubre,municipality,Colombia,BOGOTA,BARRIOS UNIDOS 12 DE OCTUBRE,COL.14.79_1,,,"in bogota capital district, not included in GADM"
Colombia-Bogota-Barrios_Unidos_Los_Andes,municipality,Colombia,BOGOTA,BARRIOS UNIDOS LOS ANDES,COL.14.79_1,,,
"Colombia-Bogota-Bogota,_D.C.",municipality,Colombia,BOGOTA,"BOGOTA, D.C.",COL.14.79_1,,,
Colombia-Bogota-Bosa_Bosa_Central,municipality,Colombia,BOGOTA,BOSA BOSA CENTRAL,COL.14.79_1,,,
Colombia-Bogota-Bosa_Tintal_Sur,municipality,Colombia,BOGOTA,BOSA TINTAL SUR,COL.14.79_1,,,
Colombia-Bogota-Chapinero_Chapinero,municipality,Colombia,BOGOTA,CHAPINERO CHAPINERO,COL.14.79_1,,,
Colombia-Bogota-Chapinero_Chico_Lago,municipality,Colombia,BOGOTA,CHAPINERO CHICO LAGO,COL.14.79_1,,,
Colombia-Bogota-Ciudad_Bolivar_San_Francisco,municipality,Colombia,BOGOTA,CIUDAD BOLIVAR SAN FRANCISCO,COL.14.79_1,,,
Colombia-Bogota-Engativa_Engativa,municipality,Colombia,BOGOTA,ENGATIVA ENGATIVA,COL.14.79_1,,,
Colombia-Bogota-Fontibon_Fontibon,municipality,Colombia,BOGOTA,FONTIBON FONTIBON,COL.14.79_1,,,
Colombia-Bogota-Kennedy_Americas,municipality,Colombia,BOGOTA,KENNEDY AMERICAS,COL.14.79_1,,,
Colombia-Bogota-Kennedy_Kennedy_Central,municipality,Colombia,BOGOTA,KENNEDY KENNEDY CENTRAL,COL.14.79_1,,,
Colombia-Bogota-La_Candelaria_La_Candelaria,municipality,Colombia,BOGOTA,LA CANDELARIA LA CANDELARIA,COL.14.79_1,,,
Colombia-Bogota-Puente_Aranda_San_Rafael,municipality,Colombia,BOGOTA,PUENTE ARANDA SAN RAFAEL,COL.14.79_1,,,
Colombia-Bogota-San_Cristobal_Sociego,municipality,Colombia,BOGOTA,SAN CRISTOBAL SOCIEGO,COL.14.79_1,,,
Colombia-Bogota-Teusaquillo_Ciudad_Salitre_Oriental,municipality,Colombia,BOGOTA,TEUSAQUILLO CIUDAD SALITRE ORIENTAL,COL.14.79_1,,,
Colombia-Bogota-Teusaquillo_La_Esmeralda,municipality,Colombia,BOGOTA,TEUSAQUILLO LA ESMERALDA,COL.14.79_1,,,
Colombia-Bogota-Teusaquillo_Quinta_Paredes,municipality,Colombia,BOGOTA,TEUSAQUILLO QUINTA PAREDES,COL.14.79_1,,,
Colombia-Bogota-Teusaquillo_Teusaquillo,municipality,Colombia,BOGOTA,TEUSAQUILLO TEUSAQUILLO,COL.14.79_1,,,
Colombia-Bogota-Tunjuelito_Tunjuelito,municipality,Colombia,BOGOTA,TUNJUELITO TUNJUELITO,COL.14.79_1,,,
Colombia-Bogota-Tunjuelito_Venecia,municipality,Colombia,BOGOTA,TUNJUELITO VENECIA,COL.14.79_1,,,
Colombia-Bogota-Usaquen_Los_Cedros,municipality,Colombia,BOGOTA,USAQUEN LOS CEDROS,COL.14.79_1,,,
Colombia-Bogota-Usaquen_Santa_Barbara,municipality,Colombia,BOGOTA,USAQUEN SANTA BARBARA,COL.14.79_1,,,
Colombia-Bolivar-Arenal,municipality,Colombia,BOLIVAR,ARENAL,,8.458532,-73.941209,
Colombia-Bolivar-Arroyohondo,municipality,Colombia,BOLIVAR,ARROYOHONDO,,10.254395,-75.018945,
Colombia-Bolivar-Clemencia,municipality,Colombia,BOLIVAR,CLEMENCIA,,10.566678,-75.324603,
Colombia-Bolivar-El_Penon,municipality,Colombia,BOLIVAR,EL PENON,,8.962013,-73.945488,
Colombia-Bolivar-Magangue,municipality,Colombia,BOLIVAR,MAGANGUE,,9.238163,-74.752937,
Colombia-Bolivar-Norosi,municipality,Colombia,BOLIVAR,RIO VIEJO,COL.5.20_1,,,In Rio Viejo
Colombia-Bolivar-Regidor,municipality,Colombia,BOLIVAR,REGIDOR,,8.669247,-73.834336,
Colombia-Bolivar-San_Cristobal,municipality,Colombia,BOLIVAR,SAN CRISTOBAL,,10.370682,-75.084147,
Colombia-Bolivar-San_Estanislao,municipality,Colombia,BOLIVAR,SAN ESTANISLAO,COL.5.21_1,,,
Colombia-Bolivar-San_Jacinto_Del_Cauca,municipality,Colombia,BOLIVAR,SAN JACINTO DEL CAUCA,COL.5.23_1,,,
